,href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
0,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=61,english1,male,"['pennsylvania,', 'usa']",english,"['mandarin', '']","['42,', 'male', '']",0.0,naturalistic,['usa'],41.0,42.0
1,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=77,english2,female,"['birmingham,', 'uk']",english,"['german', 'mandarin', '']","['30,', 'female', '']",0.0,naturalistic,['uk'],30.0,30.0
2,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=88,english3,female,"['brisbane,', 'australia']",english,['none'],"['26,', 'female', '']",0.0,naturalistic,['australia'],26.0,26.0
3,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=99,english4,female,"['bay,', 'jamaica']",english,"['spanish', 'french', '']","['53,', 'female', '']",0.0,naturalistic,"['jamaica,usa']",53.0,53.0
4,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=110,english5,male,"['virginia,', 'usa']",english,['none'],"['62,', 'male', '']",0.0,naturalistic,['usa'],62.0,62.0
5,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=121,english6,female,"['york,', 'usa']",english,"['french', 'spanish', '']","['45,', 'female', '']",0.0,naturalistic,['usa'],45.0,45.0
6,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=132,english7,male,"['mississippi,', 'usa']",english,"['spanish', 'french', '']","['52,', 'male', '']",0.0,naturalistic,['usa'],52.0,52.0
7,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=143,english8,female,"['perth,', 'australia']",english,"['french', '']","['21,', 'female', '']",0.0,naturalistic,"['australia,usa']",4.0,21.0
8,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=154,english9,female,"['texas,', 'usa']",english,"['spanish', '']","['48,', 'female', '']",0.0,naturalistic,['usa'],48.0,48.0
9,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=62,english10,female,"['iowa,', 'usa']",english,['none'],"['35,', 'female', '']",0.0,naturalistic,['usa'],35.0,35.0
10,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=68,english11,female,"['staffordshire,', 'uk']",english,"['french', '']","['35,', 'female', '']",0.0,naturalistic,['uk'],35.0,35.0
11,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=69,english12,female,"['leicester,', 'uk']",english,"['french', '']","['71,', 'female', '']",0.0,naturalistic,['uk'],71.0,71.0
12,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=70,english13,male,"['oxfordshire,', 'uk']",english,['none'],"['69,', 'male', '']",0.0,naturalistic,['uk'],69.0,69.0
13,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=71,english14,male,"['ireland,', 'uk']",english,"['french', '']","['40,', 'male', '']",0.0,naturalistic,"['uk,usa']",40.0,40.0
14,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=72,english15,female,"['virginia,', 'usa']",english,['none'],"['7,', 'female', '']",0.0,naturalistic,['usa'],7.0,7.0
15,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=73,english16,male,"['virginia,', 'usa']",english,"['spanish', '']","['21,', 'male', '']",0.0,naturalistic,['usa'],21.0,21.0
16,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=74,english17,male,"['virginia,', 'usa']",english,['none'],"['79,', 'male', '']",0.0,naturalistic,['usa'],79.0,79.0
17,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=75,english18,female,"['virginia,', 'usa']",english,['none'],"['39,', 'female', '']",0.0,naturalistic,['usa'],39.0,39.0
18,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=76,english19,male,"['kentucky,', 'usa']",english,"['spanish', '']","['53,', 'male', '']",0.0,naturalistic,['usa'],53.0,53.0
19,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=78,english20,female,"['carolina,', 'usa']",english,['none'],"['27,', 'female', '']",0.0,naturalistic,['usa'],27.0,27.0
20,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=79,english21,female,"['massachusetts,', 'usa']",english,"['italian', '']","['37,', 'female', '']",0.0,naturalistic,['usa'],37.0,37.0
21,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=80,english22,female,"['city,', 'panama']",english,"['spanish', '']","['25,', 'female', '']",0.0,naturalistic,['usa'],5.0,25.0
22,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=81,english23,male,"['tennessee,', 'usa']",english,['none'],"['43,', 'male', '']",0.0,naturalistic,['usa'],43.0,43.0
23,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=82,english24,male,"['scotland,', 'uk']",english,"['french', '']","['37,', 'male', '']",0.0,naturalistic,"['uk,usa']",37.0,37.0
24,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=83,english25,male,"['georgia,', 'usa']",english,['none'],"['57,', 'male', '']",0.0,naturalistic,['usa'],57.0,57.0
25,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=84,english26,male,"['maryland,', 'usa']",english,['none'],"['71,', 'male', '']",0.0,naturalistic,['usa'],71.0,71.0
26,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=85,english27,female,"['maryland,', 'usa']",english,['none'],"['37,', 'female', '']",0.0,naturalistic,['usa'],37.0,37.0
27,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=86,english28,male,"['ontario,', 'canada']",english,"['french', 'russian', '']","['54,', 'male', '']",0.0,naturalistic,['canada'],54.0,54.0
28,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=87,english29,female,"['ontario,', 'canada']",english,['none'],"['54,', 'female', '']",0.0,naturalistic,['canada'],54.0,54.0
29,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=89,english30,female,"['ontario,', 'canada']",english,"['french', 'swedish', '']","['30,', 'female', '']",0.0,naturalistic,['canada'],30.0,30.0
30,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=90,english31,female,"['augustine,', 'trinidad']",english,['none'],"['31,', 'female', '']",0.0,naturalistic,"['trinidad,usa']",31.0,31.0
31,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=91,english32,female,"['california,', 'usa']",english,['none'],"['50,', 'female', '']",0.0,naturalistic,['usa'],50.0,50.0
32,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=92,english33,male,"['california,', 'usa']",english,['none'],"['21,', 'male', '']",0.0,naturalistic,['usa'],21.0,21.0
33,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=93,english34,female,"['york,', 'usa']",english,"['french', '']","['18,', 'female', '']",0.0,naturalistic,['usa'],18.0,18.0
34,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=94,english35,female,"['wisconsin,', 'usa']",english,"['spanish', '']","['60,', 'female', '']",0.0,naturalistic,['usa'],60.0,60.0
35,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=95,english36,male,"['wisconsin,', 'usa']",english,['none'],"['60,', 'male', '']",0.0,naturalistic,['usa'],60.0,60.0
36,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=96,english37,female,"['yole,', 'india']",english,"['hindi-urdu', 'french', '']","['28,', 'female', '']",0.0,naturalistic,['usa'],7.0,28.0
37,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=97,english38,male,"['littlehampton,', 'uk']",english,['none'],"['27,', 'male', '']",0.0,naturalistic,['uk'],27.0,27.0
38,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=98,english39,female,"['louisiana,', 'usa']",english,['none'],"['59,', 'female', '']",0.0,naturalistic,['usa'],59.0,59.0
39,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=100,english40,male,"['dudley,', 'uk']",english,['none'],"['53,', 'male', '']",0.0,naturalistic,['uk'],53.0,53.0
40,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=101,english41,male,"['new', 'zealand']",english,"['hebrew', 'french', '']","['44,', 'male', '']",0.0,naturalistic,"['new', 'zealand']",21.0,44.0
41,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=102,english42,male,"['south', 'africa']",english,"['afrikaans', 'zulu', '']","['65,', 'male', '']",0.0,naturalistic,"['south', 'africa']",60.0,65.0
42,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=103,english43,male,"['columbia,', 'canada']",english,['none'],"['47,', 'male', '']",0.0,naturalistic,['canada'],47.0,47.0
43,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=104,english44,female,"['carolina,', 'usa']",english,"['spanish', 'french', '']","['63,', 'female', '']",0.0,naturalistic,['usa'],63.0,63.0
44,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=105,english45,male,"['arkansas,', 'usa']",english,['none'],"['52,', 'male', '']",0.0,naturalistic,['usa'],52.0,52.0
45,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=106,english46,male,"['carolina,', 'usa']",english,['none'],"['73,', 'male', '']",0.0,naturalistic,['usa'],73.0,73.0
46,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=107,english47,female,"['arkansas,', 'usa']",english,['none'],"['76,', 'female', '']",0.0,naturalistic,['usa'],76.0,76.0
47,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=108,english48,male,"['new', 'guinea']",english,"['tok', 'pisin', 'igbo', '']","['26,', 'male', '']",0.0,naturalistic,"['papua', 'new', 'guinea,uk,usa']",26.0,26.0
48,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=109,english49,male,"['california,', 'usa']",english,['none'],"['43,', 'male', '']",0.0,naturalistic,['usa'],43.0,43.0
49,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=111,english50,female,"['dakota,', 'usa']",english,"['french', '']","['29,', 'female', '']",0.0,naturalistic,['usa'],29.0,29.0
50,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=112,english51,male,"['michigan,', 'usa']",english,"['italian', '']","['67,', 'male', '']",0.0,naturalistic,['usa'],67.0,67.0
51,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=113,english52,male,"['alberta,', 'canada']",english,['none'],"['20,', 'male', '']",0.0,naturalistic,"['canada,', 'usa']",20.0,20.0
52,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=114,english53,male,"['york,', 'usa']",english,['none'],"['63,', 'male', '']",0.0,naturalistic,['usa'],63.0,63.0
53,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=115,english54,female,"['indiana,', 'usa']",english,['none'],"['40,', 'female', '']",0.0,naturalistic,['usa'],40.0,40.0
54,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=116,english55,female,"['missouri,', 'usa']",english,['none'],"['53,', 'female', '']",0.0,naturalistic,['usa'],53.0,53.0
55,http://accent.gmu.edu/browse_language.php?function=detail&speakerid=117,english56,male,"['ireland,', 'uk']",english,"['ulster', 'scots', '']","['20,', 'male', '']",0.0,naturalistic,"['northern', 'ireland']",20.0,20.0
